xid,basis,name,path,depth,parent_xid,is_system
ac6c10c3-8b8d-4fe5-8db2-70062d63d481,"KNP 18 1347","Pomiar instalacji i urządzeń ochrony przeciwporażeniowej w urządzeniach elektroenergetycznych średnich i wysokich napięć","KNP 18 / KNP 18 13 / KNP 18 1347",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
6e24868e-aa51-47d6-b5d4-8364ad9c8195,"KNP 18 1348","Badania i pomiary ochrony odgromowej budynków i budowli","KNP 18 / KNP 18 13 / KNP 18 1348",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
26f8ea27-e475-45f1-b4c3-5bc1ea2cb28b,"KNP 18 1349","Pomiar instalacji elektrycznych","KNP 18 / KNP 18 13 / KNP 18 1349",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
d6144cbc-a4cd-4690-b4fb-2100c1fbee73,"KNP 18 1350","Pomiar nastawników","KNP 18 / KNP 18 13 / KNP 18 1350",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
501e7c23-76b3-4312-bcf2-2f96439d9723,"KNP 18 1351","Pomiar wyłączników krańcowych","KNP 18 / KNP 18 13 / KNP 18 1351",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
911a410b-31f3-4fbb-beeb-752bd1797b40,"KNP 18 1354","Pomiar oporników i grzejników","KNP 18 / KNP 18 13 / KNP 18 1354",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
aa3084fc-0c7d-411b-8cf9-bf161c521d31,"KNP 18 1355","Roboty różne","KNP 18 / KNP 18 13 / KNP 18 1355",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
af454d85-8a92-4361-86d9-7bd49acf3d0f,"KNP 18 1356","Pomiar przekaźników elektronicznych","KNP 18 / KNP 18 13 / KNP 18 1356",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
e5adc2b9-9694-49db-a514-7f347dd426aa,"KNP 18 1357","Pomiar typowych urządzeń elektronicznych","KNP 18 / KNP 18 13 / KNP 18 1357",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
d29d0858-1495-4c66-9341-49d26336f18f,"KNP 18 1358","Pomiar bloków i układów przekształtników i przemienników tyrystorowych chłodzonych powietrzem","KNP 18 / KNP 18 13 / KNP 18 1358",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
4f64dd22-1c15-4420-944a-679ff6e167b6,"KNP 18 1359","Próby pomontażowe układów","KNP 18 / KNP 18 13 / KNP 18 1359",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
40a8c6ec-524a-438b-aa8e-c432b87bd56d,"KNP 18 1360","Próby pomontażowe funkcjonowania układów","KNP 18 / KNP 18 13 / KNP 18 1360",2,ae5a71ee-0cf8-4fdf-99ab-23cf5e0732b0,true
a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,"KNP 18 22","( Dział 22 ) * Montaż oświetlenia zewnętrznego","KNP 18 / KNP 18 22",1,ba73f36f-a0be-4a68-b0c4-bebb3e2678fe,true
8fd07bed-bbf0-4beb-a470-020c243730ac,"KNP 18 2201","Stawianie słupów-latarń w uprzednio wykonanym wykopie","KNP 18 / KNP 18 22 / KNP 18 2201",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
dad82bb5-be65-4292-81f4-a7e6ef856159,"KNP 18 2202","Stawianie słupów-latarń dźwigiem samojezdnym w uprzednio wykonanym wykopie","KNP 18 / KNP 18 22 / KNP 18 2202",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
eb149bda-06f7-4fcf-98fa-69b3084ee493,"KNP 18 2203","Montaż wysięgników rurowych z podnośnika samochodowego","KNP 18 / KNP 18 22 / KNP 18 2203",2,a2f2dc3f-8a88-4c85-9a2a-e195f97cdae3,true
